"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AXD2IXS3","journalArticle","1993","Shimura, Masao","Pynchon Retrospective","Bungakkai: [Literature World]","","","","","","1993","2024-06-19 22:35:56","2024-06-19 22:35:56","","154-162","","11","47","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99VP9SNF","journalArticle","1978","Shimura, Masao","Pynchon: Hito to Sakuhin – Story to Plot: [Pynchon and His Works: Story-Telling and Plot-Making]","Umi","","","","","","1978","2024-06-19 22:35:56","2024-06-19 22:35:56","","314-328","","6","10","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7IU2ZPY","journalArticle","1975","Shimura, Masao","Thomas Pynchon Note","Eigo Seinen/The Rising Generation: (英語青年)","","","","","","1975","2024-06-19 22:35:56","2024-06-19 22:35:56","","458-459","","","120","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTNIDUZF","journalArticle","1999","Siegel, Mark R.","Pynchon's Legal Landscape: Justice in Mason & Dixon","Oklahoma City University Law Review","","","","","","1999","2024-06-19 22:35:56","2024-06-19 22:35:56","","438-447","","3","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIRR3QSR","journalArticle","1998","Siegel, Mark R.","Review of Mason & Dixon","Journal of Popular Culture","","","","","","1998","2024-06-19 22:35:56","2024-06-19 22:35:56","","176-177","","4","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MSN7TZV","journalArticle","1978","Simmon, Scott A.","Beyond the Theatre of War: Gravity's Rainbow as Film","Literature/Film Quarterly","","","","","","1978","2024-06-19 22:35:56","2024-06-19 22:35:56","","347-363","","6","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVUN2V2U","journalArticle","2011","Simonetti, Paolo","'Bye Bye Black Dahlia': Pynchon, Coover e il 'vizio intrinseco' della detective fiction","Fictions: Studi sulla narratività","","","","","","2011","2024-06-19 22:35:56","2024-06-19 22:35:56","","45-53","","","10","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDTMN3JQ","journalArticle","2011","Simonetti, Paolo","Historical Fiction After 9/11: Thomas Pynchon's Against the Day","Modern Language Studies","","","","","","2011","2024-06-19 22:35:56","2024-06-19 22:35:56","","26-41","","1","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2QQHMDC","journalArticle","2008","Simonetti, Paolo","L'arcobaleno della paranoia: Dalla paranoia di Gravity's Rainbow alla dietrologia di Underworld","Acoma: rivista internazionale di studi nordamericani","","","","","","2008","2024-06-19 22:35:56","2024-06-19 22:35:56","","61-76","","35","","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQXQC4IL","journalArticle","2008","Simonetti, Paolo","Like Metaphor, Only Different","G.R.A.A.T.: Groupe de recherches anglo-américaines","","","","","","2008","2024-06-19 22:35:56","2024-06-19 22:35:56","","56-64","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LN8PKAPG","journalArticle","2007","Simonetti, Paolo","Strade-Geroglifico e paranoia postmoderna","Fictions: Studi sulla narratività","","","","","","2007","2024-06-19 22:35:56","2024-06-19 22:35:56","","39-50","","","6","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4DSHTCY","journalArticle","1977","Simons, John L.","Third Story Man: Biblical Irony in Thomas Pynchon's 'Entropy'","Studies in Short Fiction","","","","","","1977","2024-06-19 22:35:56","2024-06-19 22:35:56","","88-93","","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BS3KTBRB","journalArticle","1977","Skarzenski, Donald","Enzian and the Octopus: Fact in Pynchon's Fiction","Notes on Modern American Literature","","","","","","1977","2024-06-19 22:35:56","2024-06-19 22:35:56","","Item 35","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNNATIPD","journalArticle","1995","Skenazy, Paul","Unfinished Business: Pynchon's Vineland","Enclitic","","","","","","1995","2024-06-19 22:35:56","2024-06-19 22:35:56","","85-93","","4","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EWD5TC7","journalArticle","1992","Skredsvig, Kari Meyers","Pynchon's Parable: The American Dream in The Crying of Lot 49","Revista de Filología y Lingüística","","","","","","1992","2024-06-19 22:35:56","2024-06-19 22:35:56","","39-44","","1","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFGHR3BR","journalArticle","1990","Smith, Evans L.","The Arthurian Underworld of Modernism: Thomas Mann, Thomas Pynchon and Robertson Davies","Arthurian Interpretations","","","","","","1990","2024-06-19 22:35:56","2024-06-19 22:35:56","","50-64","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXDQCXJM","journalArticle","1983","Smith, Thomas S.","Performing in the Zone: The Presentation of Historical Crisis in Gravity's Rainbow","Clio: A Journal of Literature, History, and the Philosophy of History","","","","","","1983","2024-06-19 22:35:56","2024-06-19 22:35:56","","245-260","","3","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63GGIMUB","journalArticle","1979","Solberg, Sara M.","On Comparing Apples and Oranges: James Joyce and Thomas Pynchon","Comparative Literature Studies","","","","","","1979","2024-06-19 22:35:56","2024-06-19 22:35:56","","33-40","","1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGS2ST2M","journalArticle","","Spencer, Nicholas P.","Clausewitz and Pynchon: Post-Romantic War in Gravity's Rainbow","Prometheus","","","","","","","2024-06-19 22:35:56","2024-06-19 22:35:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTK3WGMM","journalArticle","1999","Spencer, Nicholas P.","The 'Law' of Simulated War in Gravity's Rainbow","Oklahoma City University Law Review","","","","","","1999","2024-06-19 22:35:56","2024-06-19 22:35:56","","680-695","","3","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKNGISW2","journalArticle","1980","Stahlberg, Lawrence","The Calculus of Semantics and the Possibilities of Metaphor: Technology and Morality in the Fiction of Thomas Pynchon","Humanities and Technology","","","","","","1980","2024-06-19 22:35:56","2024-06-19 22:35:56","","18-25","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUVEJK3A","journalArticle","1989","Steiner, Wendy","Pynchon and Pictures","Journal of Philosophy and the Visual Arts","","","","","","1989","2024-06-19 22:35:56","2024-06-19 22:35:56","","28-33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IAAM4YE","journalArticle","1980","Stern, Jerome H.","The Interfaces of Gravity's Rainbow","Dismisura","","","","","","1980","2024-06-19 22:35:56","2024-06-19 22:35:56","","51-57","","","39-50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV3R89QT","journalArticle","1983","Stoltzfus, Ben","The Aesthetics of Nouveau Roman and Innovative Fiction","The International Fiction Review","","","","","","1983","2024-06-19 22:35:56","2024-06-19 22:35:56","","108-116","","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZ7UAELS","journalArticle","1983","Strube, Rolf","Der letzte große Orgasmus ist der Tod: Die erotischen Weltuntergangsphantasien des Thomas Pynchon","Schreibheft: Zeitschrift für Literatur","","","","","","1983","2024-06-19 22:35:56","2024-06-19 22:35:56","","87-93","","","22","","","","","","","","","","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8H5LRJCM","journalArticle","2004","Styhre, Alexander","Thomas Pynchon and the Scrambling of Literary Codes: Implications for Organization Theory","ephemera","","","","","","2004","2024-06-19 22:35:56","2024-06-19 22:35:56","","315-327","","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ISLKH5E","journalArticle","1989","Sugiura, Ginsaku","Pynchon and American Literature","Yuriika: [Eureka] (ユリイカ)","","","","","","1989","2024-06-19 22:35:56","2024-06-19 22:35:56","","204-213","","2","21","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C8IF3CBT","journalArticle","1988","Sugiura, Ginsaku","The Nature of Text in Novels: Centering Thomas Pynchon's The Crying of Lot 49","Eigo Seinen/The Rising Generation: (英語青年)","","","","","","1988","2024-06-19 22:35:56","2024-06-19 22:35:56","","530-532","","11","133","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4KYR4V7","journalArticle","1994","Suhama, Masahiro","Thomas Pynchon's Gravity's Rainbow: A Violently Moving World and Literature","Minshu Bungaku [Democratic Literature]: (民主文学)","","","","","","1994","2024-06-19 22:35:56","2024-06-19 22:35:56","","125-127","","340","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VDRXU7U","journalArticle","1995","Sweeney, Susan E.","The V-Shaped Paradigm: Nabokov and Pynchon","Cycnos","","","","","","1995","2024-06-19 22:35:56","2024-06-19 22:35:56","","","","2","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45ILNL3I","journalArticle","1990","Széky, János","A sehová lett Paradicsom","Holmi","","","","","","1990","2024-06-19 22:35:56","2024-06-19 22:35:56","","1076-1080","","9","2","","","","","","","","","","Hungarian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KW5BMD9C","journalArticle","2015","Széky, János","Súlyos és szivárványos","Prae: irodalmi folyóirat","","","","","","2015","2024-06-19 22:35:56","2024-06-19 22:35:56","","5-18","","","","","","","","","","","","","Hungarian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3M2TLLR","journalArticle","1990","Tabbi, Joseph","'The Generous Paranoia of Those Who Pursue Themselves': McElroy, Mailer, and Ancient History","Review of Contemporary Fiction","","","","","","1990","2024-06-19 22:43:56","2024-06-19 22:43:56","","86-94","","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDVR7E73","journalArticle","1991","Tabbi, Joseph","Pynchon's Groundward Art","Michigan Quarterly Review","","","","","","1991","2024-06-19 22:43:57","2024-06-19 22:43:57","","375-382","","2","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIGIXSXX","journalArticle","1987","Tachizaki, Hidekazu","Entropical Reading and the Reading of Entropy: The Crying of Lot 49","Chiba Daigaku Kyoyobu Kenkyu Hokoku (A)","","","","","","1987","2024-06-19 22:43:57","2024-06-19 22:43:57","","169-196","","20","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVM6WDP4","journalArticle","1996","Takada, Shuhei","'Under the Rose' as the Archetype of Pynchon's Fiction","Kyushu American Literature: (九州アメリカ文学)","","","","","","1996","2024-06-19 22:43:57","2024-10-30 00:15:46","","9-18","","37","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7TBW7ZV","journalArticle","1997","Takada, Shuhei","Metaphor and Value in Technological Society: A Reading of Pynchon's V.","Journal of the Research Institute of General Education","","","","","","1997","2024-06-19 22:43:57","2024-10-30 00:15:36","","67-81","","9","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJGHAGDJ","journalArticle","1998","Takada, Shuhei","Subject and Subjection in Pynchon's Vineland","Kyushu American Literature: (九州アメリカ文学)","","","","","","1998","2024-06-19 22:43:57","2024-10-30 00:15:39","","55-65","","39","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFS7NNTT","journalArticle","1996","Takada, Shuhei","Thomas Pynchon's Gravity's Rainbow as Postmodernist Fiction","Journal of the Research Institute of General Education","","","","","","1996","2024-06-19 22:43:57","2024-10-30 00:15:42","","93-103","","8","","","","","","","","","","","?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4G6T9BBV","journalArticle","1985","Takahashi, Isao","The Jump to Zero: Thomas Pynchon's The Crying of Lot 49","Studies in Foreign Language & Literature","","","","","","1985","2024-06-19 22:43:57","2024-06-19 22:43:57","","29-46","","21","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKTICXUG","journalArticle","1987","Takahashi, Isao","The Trap of Thomas Pynchon: Thomas Pynchon's The Crying of Lot 49","Aichi University of Education Research Report (Humanities)","","","","","","1987","2024-06-19 22:43:57","2024-06-19 22:43:57","","71-80","","36","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T477P8QZ","journalArticle","1995","Takahashi, Wataru","Entropy as Metaphor - from Unsociable To Sociable - Deciphering Thomas Pynchon's Entropy","Hiroshima Women's University Literature Department Journal","","","","","","1995","2024-06-19 22:43:57","2024-06-19 22:43:57","","57-80","","30","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLV3K3LI","journalArticle","1991","Takahashi, Wataru","Thomas Pynchon 'Low-Lands': Possibility of Novel","Hiroshima Women's University Literature Department Journal","","","","","","1991","2024-06-19 22:43:57","2024-06-19 22:43:57","","1-16","","26","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7R9L5ZN","journalArticle","1981","Takás, Ferenc","Models Or Metaphors: Pattern and Paranoia in Pynchon's The Crying of Lot 49","Acta Litteraria Academiae Scientiarum Hungaricae","","","","","","1981","2024-06-19 22:43:57","2024-06-19 22:43:57","","297-306","","3-4","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZPWQ9KD","journalArticle","1989","Takayama, Hiroshi","Elle s'est pass","Yuriika: [Eureka] (ユリイカ)","","","","","","1989","2024-06-19 22:43:57","2024-06-19 22:43:57","","130-137","","2","21","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLNRWDJ9","journalArticle","1987","Takeda, Haruko","Is It Empty Air Outside the Frame?: Thomas Pynchon's The Crying of Lot 49","Shumposhion (Shumposhion Dojin)","","","","","","1987","2024-06-19 22:43:57","2024-06-19 22:43:57","","44-53","","7","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CV4BJ75P","journalArticle","1976","Tanner, Tony","Games American Writers Play: Ceremony, Complicity, Contestation and Carnival","Salmagundi","","","","","","1976","2024-06-19 22:43:57","2024-06-19 22:43:57","","110-140","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LQDEENI","journalArticle","1971","Tanner, Tony","Patterns and Paranoia or Caries and Cabals","Salmagundi","","","","","","1971","2024-06-19 22:43:57","2024-06-19 22:43:57","","78-99","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ZU68HAW","journalArticle","1999","Tatsumi, Takayuki","Amerika shosetsushi no kakumei (24[kan])","Eigo Seinen/The Rising Generation: (英語青年)","","","","","","1999","2024-06-19 22:43:57","2024-06-19 22:43:57","","765-767","","12","144","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LZ2MSIC","journalArticle","1994","Tatsumi, Takayuki","Beyond Oz - Hypertext Edition of Gravity's Rainbow","Eigo Seinen/The Rising Generation: (英語青年)","","","","","","1994","2024-06-19 22:43:57","2024-06-19 22:43:57","","221-222","","5","140","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKRI3CCQ","journalArticle","1979","Thigpen, Kenneth A.","Folklore in Contemporary American Literature: Thomas Pynchon's V. and the Alligators-In-The-Sewers Legend","Southern Folklore Quarterly","","","","","","1979","2024-06-19 22:43:57","2024-06-19 22:43:57","","93-105","","1-2","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XM7GL5VZ","journalArticle","1994","Thigpen, Kenneth A.","Thomas Pynchon e gli alligatori melle fogne: letteratura e folklore urbano","Acoma: rivista internazionale di studi nordamericani","","","","","","1994","2024-06-19 22:43:57","2024-06-19 22:43:57","","43-49","","","","","","","","","","","","","Italian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCVIG62N","journalArticle","1999","Thoreen, David","The President's Emergency War Powers and the Erosion of Civil Liberties in Pynchon's Vineland","Oklahoma City University Law Review","","","","","","1999","2024-06-19 22:43:57","2024-06-19 22:43:57","","","","3","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJWQWIX6","journalArticle","1980","Tillotson, T. S.","Gravitational Entropy in Gravity's Rainbow","Pynchon Notes","","","","","","1980","2024-06-19 22:43:57","2024-06-19 22:43:57","","23-24","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LVUTF7R","journalArticle","1978","Titon, Jeff Todd","Every Day I Have the Blues: Improvisation and Daily Life","Southern Folklore Quarterly","","","","","","1978","2024-06-19 22:43:57","2024-06-19 22:43:57","","85-98","","1","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQYZ422Y","journalArticle","1977","Tölölyan, Khachig","Criticism as Symptom: Thomas Pynchon and the Crisis of the Humanities","The New Orleans Review","","","","","","1977","2024-06-19 22:43:57","2024-06-19 22:43:57","","314-318","","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQCD4YDB","journalArticle","1988","Tölölyan, Khachig","Discoursing with Culture: The Novel as Interlocutor","Novel: A Forum on Fiction","","","","","","1988","2024-06-19 22:43:57","2024-06-19 22:43:57","","228-238","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574NQPAZ","journalArticle","1979","Tölölyan, Khachig","The Fishy Poisson: Allusions to Statistics in Gravity's Rainbow","Notes on Modern American Literature","","","","","","1979","2024-06-19 22:43:57","2024-06-19 22:44:19","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8PQQQKS","journalArticle","1989","Tomiyama, Takao","Evil, from One Place to Another","Yuriika: [Eureka] (ユリイカ)","","","","","","1989","2024-06-19 22:43:57","2024-06-19 22:43:57","","123-129","","2","21","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9N68QXYP","journalArticle","1973","Trachtenberg, Stanley","Counterhumor: Comedy in Contemporary American Fiction","The Georgia Review","","","","","","1973","2024-06-19 22:43:57","2024-06-19 22:43:57","","33-48","","1","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GS2W4FFZ","journalArticle","1982","Tsurumi, Seiji","Gendai Shosetsu no Ending: Pynchon, Barth, Brautigan","Oberon","","","","","","1982","2024-06-19 22:43:57","2024-06-19 22:43:57","","80-93","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5CYRRHT","journalArticle","1991","Tsutsui, Masaaki","Modern American Authors Research: 2 - Whale and V - For the Elucidation of V.","Meiji Gakuin Journal","","","","","","1991","2024-06-19 22:43:57","2024-06-19 22:43:57","","15-77","","472","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9XF7JCG","journalArticle","1993","Ueda, Hajime","The Crying of Lot 49: Who Will Knock America Down?","Sonoda Gakuen Women's University Journal","","","","","","1993","2024-06-19 22:49:25","2024-06-19 22:49:25","","37-50","","28","","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAWCG8PW","journalArticle","1989","Ueno, Tatsurou","Literature in Advanced Capitalistic Society: Pynchon vs. Murakami Haruki, Murakami Ryu, and Takahashi Genichiro","Yuriika: [Eureka] (ユリイカ)","","","","","","1989","2024-06-19 22:49:25","2024-06-19 22:49:25","","103-107","","2","21","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99EIACC9","journalArticle","1989","Unami, Akira","The Literature of Love","Yuriika: [Eureka] (ユリイカ)","","","","","","1989","2024-06-19 22:49:25","2024-06-19 22:49:25","","144-150","","2","21","","","","","","","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2XYR2R5","journalArticle","1977","van Boheemen-Saaf, Christel","The Artist as Con Man: The Reaction Against Symbolist Aesthetic in Recent American Fiction","Dutch Quarterly Review of Anglo-American Letters","","","","","","1977","2024-06-19 22:49:25","2024-06-19 22:49:44","","305-318","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7WYB2MT","journalArticle","1999","Vanderbeke, Dirk","Vineland in the Novels of John Barth and Thomas Pynchon","diss.sense","","","","","","1999","2024-06-19 22:49:25","2024-06-19 22:49:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SK48UFPY","journalArticle","2000","Vanderbeke, Dirk","N Tropes for Entropy in Pynchon's Early Works","Pynchon Notes","","","","","","2000","2024-06-19 22:49:25","2024-06-19 22:49:25","","35-59","","46-49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JUL6DGV","journalArticle","2009","Vanwesenbeeck, Birger","Gravity's Rainbow: A Portrait of the Artist as Engineer","Pynchon Notes","","","","","","2009","2024-06-19 22:49:25","2024-06-19 22:49:25","","144-157","","56-57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"726JPZDV","journalArticle","2009","Vasilenko, Andrey","Apocalyptic Quest in Thomas Pynchon's V. and Roberto Bolaño's 2666","Pynchon Notes","","","","","","2009","2024-06-19 22:49:25","2024-06-19 22:49:25","","21-30","","56-57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4BNFMXT","journalArticle","1984","Vauthier, Simone","Gravity's Rainbow à la carte: Notes de lecture","Fabula","","","","","","1984","2024-06-19 22:49:25","2024-06-19 22:49:25","","97-118","","","3","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEV99TEN","journalArticle","2001","Velcic, Vlatka","Postmodern and Postcolonial Portrayals of Colonial History: Contemporary Novels About the Eighteenth Century","Tennessee Philological Bulletin","","","","","","2001","2024-06-19 22:49:25","2024-06-19 22:49:25","","41-48","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
